frame,text_box,left_x,left_y,right_x,right_y
444,matthew,0,0,0,0
445,matthew,0,0,0,0
446,matthew ,0,0,0,0
447,matthew ,0,0,0,0
448,matthew ,0,0,0,0
449,matthew ,0,0,0,0
450,matthew ,0,0,0,0
451,matthew ,0,0,0,0
452,matthew ,0,0,0,0
453,matthew ,0,0,0,0
454,matthew ,0,0,0,0
455,matthew ,0,0,0,0
456,matthew ,0,0,0,0
457,matthew ,0,0,0,0
458,matthew ,0,0,0,0
459,matthew ,0,0,0,0
460,matthew ,0,0,0,0
461,matthew ,0,0,0,0
462,matthew ,0,0,0,0
463,matthew ,0,0,0,0
464,matthew ,0,0,0,0
465,matthew ,0,0,0,0
466,matthew ,0,0,0,0
467,matthew ,0,0,0,0
468,matthew ,0,0,0,0
469,matthew ,0,0,0,0
470,matthew ,0,0,0,0
471,matthew ,0,0,0,0
472,matthew ,0,0,0,0
473,matthew ,0,0,0,0
474,matthew ,0,0,0,0
475,matthew ,0,0,0,0
476,matthew ,0,0,0,0
477,matthew ,0,0,0,0
478,matthew ,0,0,0,0
479,matthew ,0,0,0,0
480,matthew ,0,0,0,0
481,matthew ,0,0,0,0
482,matthew ,0,0,0,0
483,matthew ,0,0,0,0
484,matthew ,0,0,0,0
485,matthew ,0,0,0,0
486,matthew ,0,0,0,0
487,matthew ,0,0,0,0
488,matthew ,0,0,0,0
489,matthew ,0,0.04888847,0,0
490,matthew ,0,0.2945969,0,0
491,matthew ,0,0.6758435,0,0
492,matthew ,0,1,0,0
493,matthew ,0,1,0,0
494,matthew ,0,1,0,0
495,matthew ,0,1,0,0
496,matthew ,0,1,0,0
497,matthew ,0,1,0,0
498,matthew ,0,1,0,0
499,matthew ,0,1,0,0
500,matthew ,0,1,0,0
501,matthew ,0,1,0,0
502,matthew ,0,1,0,0
503,matthew ,0,1,0,0
504,matthew ,0,1,0,0
505,matthew ,0,1,0,0
506,matthew ,0,1,0,0
507,matthew ,0,1,0,0
508,matthew ,0,1,0,0
509,matthew ,0,1,0,0
510,matthew ,0,1,0,0
511,matthew a,0,1,0,0
512,matthew a,0,1,0,0
513,matthew a,0,1,0,0
514,matthew a,0,1,0,0
515,matthew a,0,1,0,0
516,matthew a,0,1,0,0
517,matthew a,0,1,0,0
518,matthew a,0,1,0,0
519,matthew a,0,1,0,0
520,matthew a,0,1,0,0
521,matthew a,0,1,0,0
522,matthew a,0,0.7389015,0,0
523,matthew a,0,0.3663525,0,0
524,matthew a,0,0,0,0
525,matthew a,0,0,0,0
526,matthew a,0,0,0,0
527,matthew a,0,0,0,0
528,matthew a,0,0,0,0
529,matthew a,0,0,0,0
530,matthew a,0,0,0,0
531,matthew a,0,0,0,0
532,matthew a,0,0,0,0
533,matthew a,0,0,0,0
534,matthew a,0,0,0,0
535,matthew a,0,0,0,0
536,matthew a,0,0,0,0
537,matthew a,0,0,0,0
538,matthew a,0,0,0,0
539,matthew a,0,0,0.09722143,-0.1684047
540,matthew a,0,0,0.791278,-0.7044923
541,matthew a,0,0,1,-0.8141666
542,matthew a,0,0,1,-0.8211857
543,matthew a,0,0,1,-0.7615229
544,matthew a,0,0,1,-0.5658641
545,matthew a,0,0,1,-0.4368872
546,matthew a,0,0,1,-0.2763242
547,matthew a,0,0,1,0
548,matthew a,0,0,1,0
549,matthew a,0,0,1,0.2757519
550,matthew a,0,0,1,0.773692
